Date,Pattern,Price,direction,breakout_close,resistance,volume_ratio,Figure,low1,low2,bounce_pct,micro_double,high1,high2,drop_pct,pole_move_pct,flag_avg_overlap,flag_inside_ratio
2023-01-26,Breakout,4071.0,up,4071.0,4141.0,1.0,figures/breakout_00452.png,,,,,,,,,,
2023-02-01,Breakout,4141.75,up,4141.75,4109.25,1.0,figures/breakout_00456.png,,,,,,,,,,
2023-02-01,Double Bottom,4141.75,,,,,figures/double_bottom_00456.png,3788.5,3901.75,6.51,none,,,,,,
2023-02-09,Breakout,4091.75,down,4091.75,4208.5,1.0,figures/breakout_00462.png,,,,,,,,,,
2023-02-17,Breakout,4086.0,down,4086.0,4208.5,1.0,figures/breakout_00468.png,,,,,,,,,,
2023-02-21,Double Bottom,4009.0,,,,,figures/double_bottom_00469.png,3897.25,4002.0,7.99,none,,,,,,
2023-03-01,Breakout,3957.5,down,3957.5,4208.5,1.0,figures/breakout_00475.png,,,,,,,,,,
2023-03-09,Breakout,3914.75,down,3914.75,4208.5,1.0,figures/breakout_00481.png,,,,,,,,,,
2023-03-13,Double Top,3863.75,,,,,figures/double_top_00483.png,,,,none,4208.5,4082.5,6.59,,,
2023-03-21,Breakout,4037.25,up,4037.25,4188.25,1.0,figures/breakout_00489.png,,,,,,,,,,
2023-03-30,Breakout,4081.5,up,4081.5,4145.5,1.0,figures/breakout_00496.png,,,,,,,,,,
2023-04-13,Breakout,4172.5,up,4172.5,4163.25,1.0,figures/breakout_00505.png,,,,,,,,,,
2023-04-21,Breakout,4155.0,down,4155.0,4194.75,1.0,figures/breakout_00511.png,,,,,,,,,,
2023-05-04,Breakout,4072.75,down,4072.75,4206.25,1.0,figures/breakout_00520.png,,,,,,,,,,
2023-05-08,Double Bottom,4153.25,,,,,figures/double_bottom_00522.png,3980.75,4062.25,5.66,none,,,,,,
2023-05-10,Breakout,4154.5,up,4154.5,4206.25,1.0,figures/breakout_00524.png,,,,,,,,,,
2023-05-17,Breakout,4170.75,up,4170.75,4206.25,1.0,figures/breakout_00529.png,,,,,,,,,,
2023-05-24,Breakout,4130.0,down,4130.0,4225.75,1.0,figures/breakout_00534.png,,,,,,,,,,
2023-05-30,Breakout,4216.25,up,4216.25,4225.75,1.0,figures/breakout_00537.png,,,,,,,,,,
2023-06-02,Double Top,4288.75,,,,,figures/double_top_00540.png,,,,none,4206.25,4297.75,5.48,,,
2023-06-09,Breakout,4307.5,up,4307.5,4305.75,1.0,figures/breakout_00545.png,,,,,,,,,,
2023-06-23,Breakout,4388.0,down,4388.0,4493.5,1.0,figures/breakout_00554.png,,,,,,,,,,
2023-06-29,Breakout,4436.25,up,4436.25,4493.5,1.0,figures/breakout_00558.png,,,,,,,,,,
2023-07-12,Breakout,4510.5,up,4510.5,4498.0,1.02,figures/breakout_00566.png,,,,,,,,,,
2023-07-17,Double Bottom,4549.5,,,,,figures/double_bottom_00569.png,4249.0,4368.5,5.75,none,,,,,,
2023-07-19,Double Top,4594.25,,,,,figures/double_top_00571.png,,,,none,4493.5,4609.25,5.22,,,
2023-07-26,Breakout,4598.5,up,4598.5,4609.25,1.02,figures/breakout_00576.png,,,,,,,,,,
2023-08-02,Breakout,4538.75,down,4538.75,4633.5,1.02,figures/breakout_00581.png,,,,,,,,,,
2023-08-04,Double Bottom,4501.75,,,,,figures/double_bottom_00583.png,4368.5,4493.75,6.07,none,,,,,,
2023-08-17,Double Bottom,4383.5,,,,,figures/double_bottom_00592.png,4424.0,4378.5,5.82,none,,,,,,
2023-08-24,Breakout,4383.25,up,4383.25,4633.5,1.0,figures/breakout_00597.png,,,,,,,,,,
2023-08-29,Breakout,4507.5,up,4507.5,4633.5,1.0,figures/breakout_00600.png,,,,,,,,,,
2023-08-31,Double Top,4518.0,,,,,figures/double_top_00602.png,,,,none,4633.5,4539.75,6.12,,,
2023-09-07,Breakout,4456.75,down,4456.75,4633.5,1.0,figures/breakout_00606.png,,,,,,,,,,
2023-09-12,Breakout,4515.0,up,4515.0,4609.25,1.0,figures/breakout_00609.png,,,,,,,,,,
2023-09-19,Breakout,4492.5,down,4492.5,4562.0,1.0,figures/breakout_00614.png,,,,,,,,,,
